Plateforme,Qualité Vidéo,Connexions Simultanées,Prix,Options Publicitaires
Amazon Prime Video (avec pub),Ultra HD (4K),3,"6,99 €/mois ou 69,99 €/an",Oui
Amazon Prime Video (sans pub),Ultra HD (4K) + Dolby Atmos,3,"8,98 €/mois ou 93,78 €/an",Non
Amazon Prime Video (-24 ans),Ultra HD (4K) + Dolby Atmos,3,"3,49 €/mois ou 34,95 €/an",Non
Apple TV+,Ultra HD (4K) + Dolby Atmos,6,"9,99 €/mois",Non
Canal+,Ultra HD (4K) + Dolby Atmos,2,"19,99 €/mois (13,99 € pour -26 ans)",Non
Canal+ & Pass Coupes d’Europe,Ultra HD (4K) + Dolby Atmos,2,"29,99 €/mois",Non
Canal+ Ciné Séries,Ultra HD (4K) + Dolby Atmos,2,"29,99 €/mois (22,99 € pour -26 ans)",Non
Canal+ Friends & Family,Ultra HD (4K) + Dolby Atmos,4,"64,99 €/mois",Non
Canal+ Sport,Ultra HD (4K) + Dolby Atmos,2,"29,99 €/mois (22,99 € pour -26 ans)",Non
DAZN Super Sports,Full HD,1,"19,99 €/mois ou 164,99 €/an",Non
DAZN Unlimited,Full HD,1,"39,99 €/mois ou 329,99 €/an",Non
Disney+ Premium,Ultra HD (4K) + Dolby Atmos,4,"11,99 €/mois ou 119,90 €/an",Non
Disney+ Standard,Full HD,2,"8,99 €/mois ou 89,90 €/an",Non
Disney+ Standard avec pub,Full HD,2,"5,99 €/mois",Oui
Filmo,Full HD,2,"6,99 €/mois ou 69,99 €/an",Non
Filmo (avec tickets),Full HD,2,"11,99 €/mois ou 129,99 €/an",Non
Netflix Standard avec pub,Full HD,2,"5,99 €/mois",Oui
Netflix Standard,Full HD,2,"13,49 €/mois",Non
Netflix Premium,Ultra HD (4K) + Dolby Atmos,4,"19,99 €/mois",Non
Max Basique avec pub,Full HD,2,"5,99 €/mois",Oui
Max Standard,Ultra HD (4K) + Dolby Atmos,4,"9,99 €/mois",Non
Max Premium,Full HD,4,"13,99 €/mois",Non
Molotov Extended,Full HD,4,"10,99 €/mois ou 99,99 €/an",Non
Molotov Extra,Ultra HD (4K) + Dolby Atmos,4,"6,99 €/mois ou 59,99 €/an",Non
Paramount+ Premium,Full HD,2,"10,99 €/mois ou 97,99 €/an",Non
Paramount+ Standard,Full HD,2,"7,99 €/mois ou 79,90 €/an",Non
